CNTYVTD,VTDKEY,GrimesD_20P_U.S. Rep 31,HankeD_20P_U.S. Rep 31,ImamD_20P_U.S. Rep 31,JanjigianD_20P_U.S. Rep 31,MannD_20P_U.S. Rep 31,YoungD_20P_U.S. Rep 31,GrimesD_20P_U.S. Rep 31_Percentage,HankeD_20P_U.S. Rep 31_Percentage,ImamD_20P_U.S. Rep 31_Percentage,JanjigianD_20P_U.S. Rep 31_Percentage,MannD_20P_U.S. Rep 31_Percentage,YoungD_20P_U.S. Rep 31_Percentage
270101,189,19,23,64,13,81,41,0.07883817427385892,0.0954356846473029,0.26556016597510373,0.05394190871369295,0.3360995850622407,0.17012448132780084
270102,190,21,21,102,17,110,48,0.06583072100313479,0.06583072100313479,0.31974921630094044,0.05329153605015674,0.3448275862068966,0.15047021943573669
270103,191,16,5,38,5,47,24,0.11851851851851852,0.037037037037037035,0.2814814814814815,0.037037037037037035,0.34814814814814815,0.17777777777777778
270104,192,19,12,69,10,91,47,0.07661290322580645,0.04838709677419355,0.2782258064516129,0.04032258064516129,0.36693548387096775,0.18951612903225806
270105,193,6,9,27,0,26,17,0.07058823529411765,0.10588235294117647,0.3176470588235294,0.0,0.3058823529411765,0.2
270106,194,55,19,141,19,98,106,0.12557077625570776,0.04337899543378995,0.3219178082191781,0.04337899543378995,0.2237442922374429,0.2420091324200913
270107,195,1,1,9,1,9,6,0.037037037037037035,0.037037037037037035,0.3333333333333333,0.037037037037037035,0.3333333333333333,0.2222222222222222
270108,196,7,6,19,3,17,5,0.12280701754385964,0.10526315789473684,0.3333333333333333,0.05263157894736842,0.2982456140350877,0.08771929824561403
270109,197,37,15,67,10,56,64,0.14859437751004015,0.060240963855421686,0.26907630522088355,0.040160642570281124,0.2248995983935743,0.2570281124497992
270110,198,6,1,16,2,21,11,0.10526315789473684,0.017543859649122806,0.2807017543859649,0.03508771929824561,0.3684210526315789,0.19298245614035087
270111,199,24,16,92,9,68,66,0.08727272727272728,0.05818181818181818,0.33454545454545453,0.03272727272727273,0.24727272727272728,0.24
270113,200,22,14,92,16,82,39,0.0830188679245283,0.052830188679245285,0.3471698113207547,0.06037735849056604,0.30943396226415093,0.1471698113207547
270114,201,30,19,90,7,78,65,0.10380622837370242,0.0657439446366782,0.31141868512110726,0.02422145328719723,0.2698961937716263,0.22491349480968859
270115,202,25,20,88,15,110,66,0.07716049382716049,0.06172839506172839,0.2716049382716049,0.046296296296296294,0.3395061728395062,0.2037037037037037
270116,203,23,10,53,9,40,40,0.13142857142857142,0.05714285714285714,0.3028571428571429,0.05142857142857143,0.22857142857142856,0.22857142857142856
270117,204,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
270118,205,8,11,36,5,57,20,0.058394160583941604,0.08029197080291971,0.26277372262773724,0.0364963503649635,0.41605839416058393,0.145985401459854
270119,206,18,11,42,8,38,24,0.1276595744680851,0.07801418439716312,0.2978723404255319,0.05673758865248227,0.2695035460992908,0.1702127659574468
270201,207,31,12,84,12,64,57,0.11923076923076924,0.046153846153846156,0.3230769230769231,0.046153846153846156,0.24615384615384617,0.21923076923076923
270202,208,40,21,134,14,98,87,0.10152284263959391,0.0532994923857868,0.3401015228426396,0.03553299492385787,0.24873096446700507,0.22081218274111675
270203,209,11,18,60,15,88,30,0.04954954954954955,0.08108108108108109,0.2702702702702703,0.06756756756756757,0.3963963963963964,0.13513513513513514
270204,210,19,8,56,4,42,37,0.1144578313253012,0.04819277108433735,0.3373493975903614,0.024096385542168676,0.25301204819277107,0.22289156626506024
270205,211,61,34,163,21,154,126,0.10912343470483005,0.06082289803220036,0.29159212880143115,0.03756708407871199,0.27549194991055453,0.22540250447227192
270206,212,40,21,91,10,68,69,0.13377926421404682,0.07023411371237458,0.30434782608695654,0.033444816053511704,0.22742474916387959,0.23076923076923078
270207,213,39,21,85,15,87,87,0.11676646706586827,0.06287425149700598,0.25449101796407186,0.04491017964071856,0.26047904191616766,0.26047904191616766
270208,214,51,36,186,16,157,154,0.085,0.06,0.31,0.02666666666666667,0.26166666666666666,0.25666666666666665
270209,215,45,28,168,17,127,102,0.09240246406570841,0.057494866529774126,0.34496919917864477,0.03490759753593429,0.26078028747433263,0.20944558521560575
270210,216,53,19,136,10,85,100,0.1315136476426799,0.04714640198511166,0.337468982630273,0.02481389578163772,0.2109181141439206,0.24813895781637718
