CNTYVTD,VTDKEY,CarterR_20G_U.S. Rep 31,ImamD_20G_U.S. Rep 31,PattersonL_20G_U.S. Rep 31
270101,189,1607,562,39
270102,190,2167,759,54
270103,191,939,417,34
270104,192,1984,620,48
270105,193,1007,166,19
270106,194,786,1376,56
270107,195,250,84,6
270108,196,1043,177,18
270109,197,580,793,38
270110,198,493,384,44
270111,199,1299,761,37
270113,200,1789,672,53
270114,201,1304,772,44
270115,202,2446,777,64
270116,203,301,534,23
270117,204,0,0,0
270118,205,932,321,18
270119,206,902,407,39
270201,207,830,792,33
270202,208,1647,1183,58
270203,209,2287,498,49
270204,210,416,564,21
270205,211,928,1622,48
270206,212,560,912,31
270207,213,748,1218,57
270208,214,1046,1711,60
270209,215,1373,1447,70
270210,216,1036,1417,55
270211,217,217,289,11
270212,218,375,391,19
270213,219,2670,585,58
270214,220,1242,1584,69
270215,221,1244,1648,67
270216,222,1191,908,41
270301,223,2265,387,61
270302,224,1795,1145,56
270303,225,1576,1248,52
270304,226,173,55,3
270305,227,1052,455,27
270306,228,809,948,29
270307,229,475,1016,20
270308,230,1582,1055,61
270309,231,789,151,12
270310,232,362,33,10
270311,233,1843,354,39
270312,234,1223,215,18
270313,235,2125,949,64
270314,236,988,758,54
270315,237,1632,798,50
270317,238,714,342,17
270318,239,2079,1025,69
270319,240,1527,752,39
270401,241,683,218,21
270402,242,770,340,18
270404,243,665,1070,47
270405,244,0,0,0
270406,245,682,810,26
270408,246,844,1421,71
270409,247,659,686,29
270410,248,429,700,38
270412,249,154,251,6
270415,252,759,1258,54
270419,253,565,256,11
4910116,9460,479,541,30
4910116,9461,0,0,0
4910117,9462,1092,2327,81
4910118,9463,886,1379,57
4910119,9464,1316,1350,67
4910122,9465,176,188,6
4910123,9466,988,1488,86
4910135,9467,739,1269,69
4910136,9468,49,91,3
4910138,9469,662,678,38
4910139,9470,995,1420,62
4910143,9471,123,209,12
4910144,9472,232,296,13
4910145,9473,786,1064,66
4910146,9474,977,2145,81
4910147,9475,1136,2475,95
4910149,9476,756,1084,61
4910150,9477,1001,1643,75
4910151,9478,1067,2304,87
4910155,9479,859,1525,56
4910162,9480,942,2011,68
4910163,9481,746,1327,49
4910164,9482,113,195,7
4910166,9483,676,818,34
4910173,9484,896,1003,54
4910174,9485,552,1170,38
4910175,9486,704,1308,52
4910180,9487,1129,1777,73
4910181,9488,517,801,37
4910182,9489,455,348,16
4910184,9490,491,555,26
4910186,9491,864,1301,37
4910189,9492,1014,1543,42
4910191,9493,265,340,16
4910192,9494,197,250,9
4910198,9495,28,36,1
4910201,9496,1207,1314,47
4910202,9497,269,223,12
4910203,9498,44,46,1
4910204,9499,1219,1351,51
4910205,9500,66,86,3
4910206,9501,1167,386,41
4910207,9502,1709,512,53
4910208,9503,932,305,33
4910209,9504,1949,580,64
4910210,9505,1023,643,44
4910216,9506,479,506,33
4910229,9507,102,82,3
4910230,9508,1579,1545,90
4910231,9509,741,636,34
4910243,9510,687,335,19
4910244,9511,936,463,28
4910245,9512,1651,718,57
4910251,9513,58,19,2
4910252,9514,1539,1159,59
4910253,9515,2008,1404,104
4910254,9516,1406,1298,88
4910255,9517,1214,796,56
4910256,9518,648,474,33
4910257,9519,1588,1435,96
4910258,9520,71,48,2
4910259,9521,630,504,29
4910261,9522,1128,1022,56
4910262,9523,855,668,44
4910263,9524,1230,1100,56
4910264,9525,1218,929,56
4910266,9526,990,1195,51
4910267,9527,994,648,44
4910276,9528,691,617,31
4910277,9529,1590,1558,84
4910278,9530,1531,1762,95
4910279,9531,53,46,0
4910283,9532,1230,1370,76
4910284,9533,1472,1485,88
4910287,9534,906,883,60
4910301,9535,1592,2033,63
4910302,9536,301,249,8
4910303,9537,841,1071,26
4910305,9538,644,245,15
4910306,9539,2547,960,59
4910307,9540,346,186,6
4910308,9541,469,193,13
4910309,9542,1885,652,51
4910310,9543,1005,290,29
4910311,9544,64,29,1
4910312,9545,481,234,13
4910314,9546,1478,1346,67
4910317,9547,376,393,13
4910318,9548,158,147,6
4910319,9549,73,66,2
4910320,9550,543,496,23
4910321,9551,10,10,0
4910322,9552,553,577,24
4910323,9553,35,33,2
4910331,9554,461,354,16
4910332,9555,1199,870,40
4910333,9556,243,215,11
4910338,9557,882,910,46
4910340,9558,750,863,36
4910341,9559,1218,702,60
4910342,9560,544,565,33
4910343,9561,1584,1142,65
4910344,9562,1025,504,30
4910345,9563,485,283,18
4910346,9564,833,411,24
4910360,9565,1510,1899,96
4910367,9566,37,40,2
4910368,9567,1217,1217,50
4910369,9568,1207,1050,55
4910370,9569,991,753,54
4910371,9570,1463,755,42
4910372,9571,1699,1493,64
4910379,9572,1844,762,57
4910380,9573,25,26,3
4910381,9574,1869,943,25
4910390,9575,1232,1133,50
4910390,9576,0,0,0
4910391,9577,856,404,22
