CNTYVTD,VTDKEY,GuillenR_22P_State Rep 31,BerlangaR_22P_State Rep 31,MonrealR_22P_State Rep 31,GuillenR_22P_State Rep 31_Percentage,BerlangaR_22P_State Rep 31_Percentage,MonrealR_22P_State Rep 31_Percentage
470001,1317,12,3,10,0.48,0.12,0.4
470002,1318,42,1,17,0.7,0.016666666666666666,0.2833333333333333
470003,1319,12,0,2,0.8571428571428571,0.0,0.14285714285714285
470004,1320,37,0,12,0.7551020408163265,0.0,0.24489795918367346
47003,1321,7,2,0,0.7777777777777778,0.2222222222222222,0.0
1310001,3209,23,5,7,0.6571428571428571,0.14285714285714285,0.2
1310002,3210,13,4,6,0.5652173913043478,0.17391304347826086,0.2608695652173913
1310003,3211,9,0,2,0.8181818181818182,0.0,0.18181818181818182
1310004,3212,4,0,3,0.5714285714285714,0.0,0.42857142857142855
1310005,3213,5,0,5,0.5,0.0,0.5
1310006,3214,10,0,0,1.0,0.0,0.0
1310007,3215,5,0,0,1.0,0.0,0.0
1310008,3216,45,7,20,0.625,0.09722222222222222,0.2777777777777778
1310009,3217,14,2,4,0.7,0.1,0.2
2470001,6155,20,0,1,0.9523809523809523,0.0,0.047619047619047616
2470002,6156,9,0,1,0.9,0.0,0.1
2470003,6157,7,0,1,0.875,0.0,0.125
2470004,6158,20,1,3,0.8333333333333334,0.041666666666666664,0.125
2470005,6159,0,0,0,0.0,0.0,0.0
2550001,6229,128,19,110,0.4980544747081712,0.07392996108949416,0.4280155642023346
2550002,6230,52,4,19,0.6933333333333334,0.05333333333333334,0.25333333333333335
2550003,6231,37,1,24,0.5967741935483871,0.016129032258064516,0.3870967741935484
2550004,6232,123,5,53,0.6795580110497238,0.027624309392265192,0.292817679558011
2550005,6233,79,5,26,0.7181818181818181,0.045454545454545456,0.23636363636363636
2550006,6234,68,8,35,0.6126126126126126,0.07207207207207207,0.3153153153153153
2550007,6235,144,16,81,0.5975103734439834,0.06639004149377593,0.3360995850622407
2550008,6236,39,5,11,0.7090909090909091,0.09090909090909091,0.2
2550009,6237,32,4,20,0.5714285714285714,0.07142857142857142,0.35714285714285715
2550010,6238,73,6,36,0.6347826086956522,0.05217391304347826,0.3130434782608696
2550011,6239,129,10,72,0.6113744075829384,0.04739336492890995,0.3412322274881517
2550012,6240,71,11,54,0.5220588235294118,0.08088235294117647,0.39705882352941174
2550013,6241,16,0,10,0.6153846153846154,0.0,0.38461538461538464
2550014,6242,45,8,20,0.6164383561643836,0.1095890410958904,0.273972602739726
2550015,6243,5,2,6,0.38461538461538464,0.15384615384615385,0.46153846153846156
2610001,6298,2,1,0,0.6666666666666666,0.3333333333333333,0.0
2610002,6299,0,0,0,0.0,0.0,0.0
2610003,6300,0,0,0,0.0,0.0,0.0
2610004,6301,4,0,1,0.8,0.0,0.2
2610005,6302,2,0,2,0.5,0.0,0.5
2610006,6303,0,0,0,0.0,0.0,0.0
2830001,6416,17,2,9,0.6071428571428571,0.07142857142857142,0.32142857142857145
2830002,6417,8,1,1,0.8,0.1,0.1
2830003,6418,9,1,4,0.6428571428571429,0.07142857142857142,0.2857142857142857
2830004,6419,3,1,1,0.6,0.2,0.2
2830005,6420,16,0,2,0.8888888888888888,0.0,0.1111111111111111
2830006,6421,9,0,2,0.8181818181818182,0.0,0.18181818181818182
2970001,6513,106,8,33,0.7210884353741497,0.05442176870748299,0.22448979591836735
2970002,6514,147,12,95,0.5787401574803149,0.047244094488188976,0.37401574803149606
2970003,6515,126,19,70,0.586046511627907,0.08837209302325581,0.32558139534883723
2970004,6516,124,8,117,0.4979919678714859,0.0321285140562249,0.46987951807228917
2970005,6517,83,2,68,0.5424836601307189,0.013071895424836602,0.4444444444444444
2970006,6518,80,3,37,0.6666666666666666,0.025,0.30833333333333335
2970007,6519,16,1,3,0.8,0.05,0.15
2970008,6520,36,3,14,0.6792452830188679,0.05660377358490566,0.2641509433962264
2970009,6521,256,41,94,0.6547314578005116,0.10485933503836317,0.24040920716112532
2970010,6522,84,8,45,0.6131386861313869,0.058394160583941604,0.3284671532846715
2970011,6523,23,1,16,0.575,0.025,0.4
2970012,6524,32,1,16,0.6530612244897959,0.02040816326530612,0.32653061224489793
2970013,6525,107,9,81,0.5431472081218274,0.04568527918781726,0.41116751269035534
2970014,6526,177,10,138,0.5446153846153846,0.03076923076923077,0.4246153846153846
3110001,6749,28,2,4,0.8235294117647058,0.058823529411764705,0.11764705882352941
3110002,6750,59,3,19,0.7283950617283951,0.037037037037037035,0.2345679012345679
3110003,6751,32,0,6,0.8421052631578947,0.0,0.15789473684210525
